Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DiseaseState]	Term Source REF	Term Accession Number	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [DiseaseState]	Term Source REF	Term Accession Number	Scan Name	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE4707GSM106278_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	early onset preeclampsia	  	  	GSE4707GSM106278_Cy5 sample	GSE4707GSM106278_Cy5 extract	total_RNA	GSE4707GSM106278_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(EO)3	A-AGIL-11	early onset preeclampsia	  	  	Placenta_PE(EO)3	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106278_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106278_Cy3 sample	GSE4707GSM106278_Cy3 extract	total_RNA	GSE4707GSM106278_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(EO)3	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(EO)3	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106279_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	early onset preeclampsia	  	  	GSE4707GSM106279_Cy5 sample	GSE4707GSM106279_Cy5 extract	total_RNA	GSE4707GSM106279_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(EO)4	A-AGIL-11	early onset preeclampsia	  	  	Placenta_PE(EO)4	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106279_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106279_Cy3 sample	GSE4707GSM106279_Cy3 extract	total_RNA	GSE4707GSM106279_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(EO)4	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(EO)4	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106250_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106250_Cy5 sample	GSE4707GSM106250_Cy5 extract	total_RNA	GSE4707GSM106250_Cy5 LE	Cy5	synthetic_RNA	Placenta_nl2	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl2	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106250_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106250_Cy3 sample	GSE4707GSM106250_Cy3 extract	total_RNA	GSE4707GSM106250_Cy3 LE	Cy3	synthetic_RNA	Placenta_nl2	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl2	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106277_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	early onset preeclampsia	  	  	GSE4707GSM106277_Cy5 sample	GSE4707GSM106277_Cy5 extract	total_RNA	GSE4707GSM106277_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(EO)2	A-AGIL-11	early onset preeclampsia	  	  	Placenta_PE(EO)2	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106277_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106277_Cy3 sample	GSE4707GSM106277_Cy3 extract	total_RNA	GSE4707GSM106277_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(EO)2	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(EO)2	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106281_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	late onset preeclampsia	  	  	GSE4707GSM106281_Cy5 sample	GSE4707GSM106281_Cy5 extract	total_RNA	GSE4707GSM106281_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(LO)1	A-AGIL-11	late onset preeclampsia	  	  	Placenta_PE(LO)1	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106281_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106281_Cy3 sample	GSE4707GSM106281_Cy3 extract	total_RNA	GSE4707GSM106281_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(LO)1	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(LO)1	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106276_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106276_Cy3 sample	GSE4707GSM106276_Cy3 extract	total_RNA	GSE4707GSM106276_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(EO)1	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(EO)1	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106276_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	early onset preeclampsia	  	  	GSE4707GSM106276_Cy5 sample	GSE4707GSM106276_Cy5 extract	total_RNA	GSE4707GSM106276_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(EO)1	A-AGIL-11	early onset preeclampsia	  	  	Placenta_PE(EO)1	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106249_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106249_Cy3 sample	GSE4707GSM106249_Cy3 extract	total_RNA	GSE4707GSM106249_Cy3 LE	Cy3	synthetic_RNA	Placenta_nl1	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl1	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106249_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106249_Cy5 sample	GSE4707GSM106249_Cy5 extract	total_RNA	GSE4707GSM106249_Cy5 LE	Cy5	synthetic_RNA	Placenta_nl1	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl1	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106280_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106280_Cy3 sample	GSE4707GSM106280_Cy3 extract	total_RNA	GSE4707GSM106280_Cy3 LE	Cy3	synthetic_RNA	Placenta_PE(EO)5	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_PE(EO)5	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106280_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	early onset preeclampsia	  	  	GSE4707GSM106280_Cy5 sample	GSE4707GSM106280_Cy5 extract	total_RNA	GSE4707GSM106280_Cy5 LE	Cy5	synthetic_RNA	Placenta_PE(EO)5	A-AGIL-11	early onset preeclampsia	  	  	Placenta_PE(EO)5	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106275_Cy5	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106275_Cy5 sample	GSE4707GSM106275_Cy5 extract	total_RNA	GSE4707GSM106275_Cy5 LE	Cy5	synthetic_RNA	Placenta_nl4	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl4	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
GSE4707GSM106275_Cy3	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon	NCBITaxon_9606	placenta	EFO	EFO_0001407	normal	EFO	EFO_0000761	GSE4707GSM106275_Cy3 sample	GSE4707GSM106275_Cy3 extract	total_RNA	GSE4707GSM106275_Cy3 LE	Cy3	synthetic_RNA	Placenta_nl4	A-AGIL-11	normal	EFO	EFO_0000761	Placenta_nl4	P-4707-1	E-GEOD-4707-processed-data-1618157355.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4707/E-GEOD-4707.processed.1.zip
